foodnames,imgs,lat,lon,picture_existence,north,west,side,main,east,tech
"새우봉골레올리브 (앞치마 입는 남자) / 8,500원",https://mblogthumb-phinf.pstatic.net/MjAxOTA1MjhfMjQ4/MDAxNTU5MDMyNDgxODU2.1lgnQF7DCBa-LJ5hI9LhJKMcr15sXBIkSXLBi3xYGPEg.aKUH1jDbNqPSkQYRznYzROd4hzq8EpGUOLzmurmIZZEg.JPEG.hyeoniyo16/IMG_6604.jpg?type=w800,35.8950851,128.6094004,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"맥시칸비프칠리버거 (다이나믹치킨) / 8,500원 (단품 6,000원)",https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/30079300_1915473695450160_5738329208015290368_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=4rNclVjOuaoAX8_grk-&oh=222a6c4c772aa7e14e0eace04cef8482&oe=5E9FD8F4,35.889048,128.6168439,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"규동 (혼덮밥) / 5,900원",images/규동_혼덮밥.jpg,35.8849473,128.6100814,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"매운돈가스 반상 (돈가스반상&불국수) / 8,900원",images/매운돈가스반상_돈가스반상.jpg,35.8944285,128.610389,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"마라탕(소) (마라관) / 1,500원 (100g당)",images/마라탕소_저스트마라관.jpg,35.893427,128.6078846,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"크랩파스타(2인) (림터) / 30,000원",images/크랩파스타2인_림터.jpg,35.8921353,128.6075789,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"불고기 3인분 (송정숯불갈비) / 15,000원 (1인분당)",images/불고기_송정.jpg,35.8921557,128.6054437,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"돈찜 (고기한마당) / 6,000원",images/돈찜_고기한마당.jpg,35.8884339,128.6033884,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"국대삼겹 (국대삼겹) / 2,900원",images/국대삼겹_국대삼겹.jpg,35.8937154,128.6084661,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"마약찜닭(소) (나린찜닭) / 13,000원",images/마약찜닭소_나린찜닭.jpg,35.8918829,128.6077642,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"매콤철판치즈돈가스 (까츠야) / 7,000원",images/매콤철판고구마치즈돈가스_까츠야.jpg,35.8931435,128.609257,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"다니다니샌드 (다니상점) / 6,000원 (1개는 3,500원)",images/다니다니샌드_다니상점.jpg,35.8881803,128.6169712,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"꼬깔면탕 (왕추찜닭) / 7,000원",images/꼬깔면탕_왕추찜닭.jpg,35.8880607,128.603247,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"중화비밤밥 (기황후) / 6,000원",images/중화비빔밥_기황후.jpg,35.88967,128.6177027,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"크림찜닭(반마리) (봉대박찜닭) / 22,000원",images/크림찜닭_봉대박.jpg,35.8945114,128.6100385,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"피자돈까스 (돈가스백작) / 7,500원",images/피자돈가스_돈가스백작.jpg,35.8849473,128.6100814,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"수제흑돼지돈까스 (모이다식탁) /7,000원",images/수제흑돼지돈까스_모이다식탁.jpg,35.8847813,128.6136587,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"고기볶음2인 (우리분식) / 10,000원 (1인분 5,000원)",images/고기볶음_우리분식.jpg,35.8849872,128.6098802,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"크림치즈볼피자(S) (몽땅) / 12,900원",images/크림치즈볼피자_몽땅.jpg,35.8831555,128.6097188,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
